Val_A,Val_B,Val_Bprime,EN_A,EN_B,EN_Bprime,Shannon_A,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,EN_avg,EN_diff,Val_avg,Formation Energy (eV/atom),Energy Above Hull (eV),Band Gap (eV),Total Magnetization (Î¼B),Material ID,3D_Volume_Per_Atom,3D_Density,3D_Crystal_Symmetry
2,10,8,0.89,1.91,2.2,1.4742857142857142,0.5714285714285715,0.521,1.0442976057771003,0.0259111094666292,2.055,0.2900000000000002,9.0,-2.068848193,0.025932189499996,0.004,15.9818678,mp-1147774,13.97132168604799,6.304148293098672,194.0
2,10,6,0.89,1.91,1.7,1.4742857142857142,0.5714285714285715,0.562,1.033412394302187,0.0047940727803038,1.805,0.2099999999999999,8.0,-2.56365896249999,0.0,3.3409,0.0,mp-504723,13.817756532412693,7.3688927282831385,225.0
2,8,6,0.89,1.83,1.7,1.4742857142857142,0.6216666666666666,0.562,1.020380011171047,0.0299556522316346,1.765,0.1300000000000001,7.0,-2.498643676,0.157696589250001,0.0,3.99999989999999,mp-1521698,13.208016609107554,6.450627964413825,216.0
2,5,4,0.89,1.6,1.3,1.4742857142857142,0.677142857142857,0.72,0.9684811730891488,0.0204220558105546,1.4500000000000002,0.3,4.5,-3.38067126699999,0.121074810656251,0.0,0.0353277,mp-1521804,14.09651371337811,6.417600952583965,216.0
2,4,6,0.89,1.3,1.7,1.4742857142857142,0.72,0.562,0.995799568316958,0.0774130327891166,1.5,0.3999999999999999,5.0,-3.056130819,0.180937930749996,0.0,2.0,mp-1521252,14.107030038620985,7.483196846885018,216.0
2,4,4,0.89,1.33,1.3,1.4742857142857142,0.7466666666666667,0.72,0.9527001182650252,0.0124999999941404,1.315,0.03,4.0,-3.635092758,0.094996619000026,3.3163,0.0,mp-1516790,14.649529794389679,6.15626817577107,216.0
2,7,6,0.89,1.55,1.7,1.4742857142857142,0.586,0.562,1.0295982365304013,0.012158054705087,1.625,0.1499999999999999,6.5,-2.6703698287931,0.091892590250006,1.88519999999999,5.0000003,mp-1516715,13.859221021988787,6.136665093737115,216.0
2,5,6,0.89,1.6,1.7,1.4742857142857142,0.677142857142857,0.562,1.0063654546574294,0.0570135106175924,1.65,0.0999999999999998,5.5,-2.81802165,0.158354321222232,0.763099999999999,2.99999989999999,mp-1519910,14.155454733161466,6.4536385413990525,216.0
2,4,5,0.89,1.33,1.6,1.4742857142857142,0.7466666666666667,0.677142857142857,0.9623667485485816,0.0329199548885835,1.465,0.27,4.5,-3.313915328,0.113674588374994,0.0,0.0002061,mp-1519061,14.359292645010928,5.290994582706563,216.0
2,4,6,0.89,1.33,1.7,1.4742857142857142,0.7466666666666667,0.562,0.9893364849616167,0.0898912866672603,1.515,0.3699999999999999,5.0,-2.979708477,0.194257001583331,0.0,1.9999999,mp-1519763,14.361105302701475,6.341769699853908,216.0
