Val_A,Val_B,Val_Bprime,EN_A,EN_B,EN_Bprime,Shannon_A,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,Formation Energy (eV/atom),Space Group
2,7,8,0.89,1.55,2.2,1.4742857142857142,0.586,0.521,1.0404028251361004,0.03327361144956557,-2.5412320577931,Pc
2,6,5,0.89,1.66,1.6,1.4742857142857142,0.521,0.677142857142857,1.016685492009933,0.0781076928183261,-3.0665843775,F-43m
2,8,10,0.89,2.2,1.91,1.4742857142857142,0.521,0.5714285714285715,1.0442976057771003,0.025911109466629296,-2.37273658949999,I-4
2,7,5,0.89,1.55,1.5,1.4742857142857142,0.586,0.6940000000000001,0.9962877053600813,0.05294117644463672,-3.18655668902643,F-43m
2,6,4,0.89,1.66,1.54,1.4742857142857142,0.521,0.6341666666666667,1.0277326293433893,0.05722472712120457,-3.29082848533333,F-43m
2,6,4,0.89,1.66,1.54,1.4742857142857142,0.521,0.6341666666666667,1.0277326293433893,0.05722472712120457,-3.29738807508333,Pmma
2,8,4,0.89,1.83,1.54,1.4742857142857142,0.6216666666666666,0.6341666666666667,1.002224081658698,0.006163961369469266,-3.11263003233333,F-43m
2,7,6,0.89,1.55,1.7,1.4742857142857142,0.586,0.562,1.0295982365304013,0.012158054705087004,-2.19195733145976,F-43m
2,5,4,0.89,1.6,1.54,1.4742857142857142,0.677142857142857,0.6341666666666667,0.9887005136293857,0.02090632690455394,-3.13772750847126,F-43m
2,6,5,0.89,1.66,1.6,1.4742857142857142,0.521,0.677142857142857,1.016685492009933,0.0781076928183261,-2.71384755499999,Fm-3m
2,5,6,0.89,1.6,1.7,1.4742857142857142,0.677142857142857,0.562,1.0063654546574294,0.05701351061759244,-2.42001267766666,F-43m
2,8,9,0.89,1.83,1.88,1.4742857142857142,0.6216666666666666,0.6255555555555555,1.0043564733210566,0.0019217570340538453,-2.33368072575,P4mm
2,4,4,0.89,1.33,1.3,1.4742857142857142,0.7466666666666667,0.72,0.9527001182650252,0.012499999994140497,-3.52449929975,F-43m
2,7,9,0.89,1.55,1.88,1.4742857142857142,0.586,0.6255555555555555,1.013286188250771,0.019720806548998167,-2.4436261250431,Cmm2
2,7,4,0.89,1.55,1.54,1.4742857142857142,0.586,0.6341666666666667,1.0111157508846638,0.02396252227156638,-2.49505076912643,F-43m
2,7,5,0.89,1.55,1.6,1.4742857142857142,0.586,0.677142857142857,1.0004210978497645,0.04486323041178241,-2.87396858112643,F-43m
2,5,4,0.89,1.6,1.54,1.4742857142857142,0.677142857142857,0.6341666666666667,0.9887005136293857,0.02090632690455394,-2.90355266008333,F-43m
2,5,6,0.89,1.63,1.7,1.4742857142857142,0.576875,0.562,1.0319834566516202,0.007552918024789847,-2.28422854466666,F-43m
2,4,5,0.89,1.33,1.6,1.4742857142857142,0.7466666666666667,0.677142857142857,0.9623667485485815,0.032919954888583576,-3.00139788966666,F-43m
2,4,4,0.89,1.33,1.54,1.4742857142857142,0.7466666666666667,0.6341666666666667,0.972259239681829,0.05381702209903104,-3.028436694,F-43m
2,7,10,0.89,1.9,1.91,1.4742857142857142,0.534,0.5714285714285715,1.0408214523609285,0.019167459204464766,-2.44190680425,Fm-3m
2,9,5,0.89,1.88,1.5,1.4742857142857142,0.6255555555555555,0.6940000000000001,0.9867214516383629,0.033229043030582446,-2.81175282073333,Fm-3m
2,6,5,0.89,1.66,1.5,1.4742857142857142,0.521,0.6940000000000001,1.012416896101201,0.08617683681884095,-3.16791021648333,P6_3/mmc
2,8,5,0.89,1.83,1.5,1.4742857142857142,0.6216666666666666,0.6940000000000001,0.987653803648176,0.035150238907353915,-3.00621388623333,Fm-3m
2,5,7,0.89,1.5,1.55,1.4742857142857142,0.6940000000000001,0.586,0.9962877053600813,0.05294117644463672,-3.04905246552643,Fm-3m
2,5,7,0.89,1.5,1.55,1.4742857142857142,0.6940000000000001,0.586,0.9962877053600813,0.05294117644463672,-3.07083603552643,Pnma
2,5,7,0.89,1.5,1.55,1.4742857142857142,0.6940000000000001,0.586,0.9962877053600813,0.05294117644463672,-3.06990704402643,P1
2,5,7,0.89,1.5,1.55,1.4742857142857142,0.6940000000000001,0.586,0.9962877053600813,0.05294117644463672,-3.07142502102643,I4/mmm
2,8,4,0.89,1.83,1.54,1.4742857142857142,0.6216666666666666,0.6341666666666667,1.002224081658698,0.006163961369469266,-2.816929195,P3m1
2,7,4,0.89,1.55,1.54,1.4742857142857142,0.586,0.6341666666666667,1.0111157508846638,0.02396252227156638,-2.97172770237643,R-3m
2,8,5,0.89,1.83,1.63,1.4742857142857142,0.6216666666666666,0.576875,1.0165840890759161,0.022404001447659076,-2.592685414,Fm-3m
